"word","n"
"river",39
"wave",36
"beach",24
"bay",22
"ocean",21
"flooding",9
"rivers",9
"waves",7
"fishing",6
"hiking",5
"seal",5
"swimming",5
"tide",5
"forest",4
"#fallriver",3
"#driver",2
"#fallriverma",2
"bayless",2
"ebay",2
"ferry",2
"seafood",2
"seals",2
"#bigredwave",1
"#bubbayou",1
"#buttonwoodsbeach",1
"#crunchfallriver",1
"#deliverydriver",1
"#doorsoffallriver",1
"#fishing",1
"#igersfallriver",1
"#narragansettbay",1
"#openhousealert",1
"#riverdale",1
"#riverfront",1
"#rollwave",1
"#seals",1
"#thrivers",1
"🎬🎥📷waves",1
"2minutebeachclean",1
"backbay",1
"baya",1
"baybee",1
"bayeks",1
"bayhawks",1
"baylies",1
"baynay",1
"beached",1
"beaches",1
"bigredwavenow",1
"chillwave",1
"drought️",1
"drought",1
"greenwave",1
"greenwavewbb",1
"microwaved",1
"noreaster",1
"oceanfront",1
"oceanic😂😅",1
"oceans",1
"peptide",1
"retrowave",1
"riverdance",1
"riverfront",1
"synthwave",1
"tides",1
"waver",1
"wavered",1
"waverider",1
"wetland",1
"wetlands",1
