"word","n"
"beach",46
"bay",37
"river",21
"wave",13
"ocean",7
"forest",6
"fishing",5
"hiking",4
"swimming",4
"ferry",3
"seal",3
"#fishing",2
"beachgoers",2
"boating",2
"oceans",2
"seafood",2
"#beach",1
"#beachday",1
"#beachhousevibes",1
"#forestdale",1
"#ocean",1
"#oceanstatecait",1
"#redwave",1
"#redwave2020",1
"#waverlyearp",1
"baybay",1
"bayonetta",1
"bayu",1
"baywatch",1
"crimewave",1
"flooding",1
"kayaking",1
"microwaved",1
"riverbeautiful",1
"screwdrivers",1
"soundwave",1
"swimmingly",1
"tide",1
"tides",1
"tidewater",1
