word,date
wave,2020-03-11
swimming,2020-03-11
river,2020-03-11
river,2020-03-11
bay,2020-03-11
bay,2020-03-11
beach,2020-03-11
#fallriver,2020-03-11
beaches,2020-03-11
seals,2020-03-11
ocean,2020-03-11
backbay,2020-03-11
rivers,2020-03-11
beach,2020-03-11
wave,2020-03-11
wave,2020-03-11
wave,2020-03-11
wave,2020-03-11
bay,2020-03-11
#fallriver,2020-03-11
wave,2020-03-11
ocean,2020-03-11
beach,2020-03-11
beach,2020-03-11
ocean,2020-03-11
river,2020-03-11
beach,2020-03-11
river,2020-03-11
tides,2020-03-11
oceanic,2020-03-11
river,2020-03-11
wave,2020-03-11
#narragansettbay,2020-03-11
ebay,2020-03-11
bay,2020-03-11
#riverdale,2020-03-11
flooding,2020-03-11
flooding,2020-03-11
beach,2020-03-11
ocean,2020-03-11
hiking,2020-03-11
flooding,2020-03-11
rivers,2020-03-11
flooding,2020-03-11
rivers,2020-03-11
rivers,2020-03-11
river,2020-03-11
flooding,2020-03-11
rivers,2020-03-11
rivers,2020-03-11
baya,2020-03-11
#thrivers,2020-03-11
beach,2020-03-11
beach,2020-03-11
wave,2020-03-11
wave,2020-03-11
wave,2020-03-11
wave,2020-03-11
wave,2020-03-11
wave,2020-03-11
wave,2020-03-11
wave,2020-03-11
wave,2020-03-11
wave,2020-03-11
wave,2020-03-11
wave,2020-03-11
wave,2020-03-11
wave,2020-03-11
wave,2020-03-11
wave,2020-03-11
seal,2020-03-11
beach,2020-03-11
ocean,2020-03-11
#openhousealert,2020-03-11
ocean,2020-03-11
wave,2020-03-11
baybee,2020-03-11
drought,2020-03-11
swimming,2020-03-11
tide,2020-03-11
beach,2020-03-11
beach,2020-03-11
swimming,2020-03-11
waves,2020-03-11
ocean,2020-03-11
river,2020-03-11
wave,2020-03-11
river,2020-03-11
fishing,2020-03-11
beach,2020-03-11
beach,2020-03-11
ocean,2020-03-11
microwaved,2020-03-11
beach,2020-03-11
beach,2020-03-11
wave,2020-03-11
waves,2020-03-11
river,2020-03-11
beach,2020-03-11
river,2020-03-11
waves,2020-03-11
beach,2020-03-11
bayhawks,2020-03-11
seals,2020-03-11
bayless,2020-03-11
beach,2020-03-11
ferry,2020-03-11
beach,2020-03-11
bayeks,2020-03-11
waves,2020-03-11
beach,2020-03-11
wetlands,2020-03-11
wave,2020-03-11
waves,2020-03-11
river,2020-03-11
fishing,2020-03-11
river,2020-03-11
river,2020-03-11
bay,2020-03-11
river,2020-03-11
swimming,2020-03-11
#driver,2020-03-11
river,2020-03-11
waves,2020-03-11
beach,2020-03-11
#buttonwoodsbeach,2020-03-11
2minutebeachclean,2020-03-11
#crunchfallriver,2020-03-11
bay,2020-03-11
