"word","date"
"tide",2020-03-31
"wave",2020-03-31
"ocean",2020-03-31
"#driver8",2020-03-31
"beachespeople",2020-03-31
"highlightwaved",2020-03-31
"seal",2020-03-31
"hiking",2020-03-31
"beach",2020-03-31
"forest",2020-03-31
"forest",2020-03-31
"lunabaylor",2020-03-31
"river",2020-03-31
"beach",2020-03-31
"river",2020-03-31
"#doorsoffallriver",2020-03-31
"river",2020-03-31
"fishing",2020-03-31
"tide",2020-03-31
"flooding",2020-03-31
"rivernot",2020-03-31
"river",2020-03-31
"bay",2020-03-31
"bay",2020-03-31
"tide",2020-03-31
"#astonwaikikibeachhotel",2020-03-31
"#waikikibeach",2020-03-31
"#ocean",2020-03-31
"#lovetheocean",2020-03-31
"bay",2020-03-31
"seaweed",2020-03-31
"bay",2020-03-31
"forest",2020-03-31
"tide",2020-03-31
"bay",2020-03-31
"wave",2020-03-31
"beach",2020-03-31
"flooding",2020-03-31
"beach",2020-03-31
"bay",2020-03-31
"seal",2020-03-31
"#riverisland",2020-03-31
"flooding",2020-03-31
"riptide",2020-03-31
"fishing",2020-03-31
"fishing",2020-03-31
"river",2020-03-31
"river",2020-03-31
"forest",2020-03-31
"forest",2020-03-31
"bay",2020-03-31
"river",2020-03-31
"oceaneyes1834",2020-03-31
"beach",2020-03-31
"seal",2020-03-31
"beach",2020-03-31
"bayley",2020-03-31
"beach",2020-03-31
"swimming",2020-03-31
"swimming",2020-03-31
"beach",2020-03-31
"hiking",2020-03-31
"seafood",2020-03-31
"beach",2020-03-31
"ocean",2020-03-31
"beach",2020-03-31
"fishing",2020-03-31
"#flyfishing",2020-03-31
"#ocean",2020-03-31
"#ocean",2020-03-31
"ocean",2020-03-31
"agbayani",2020-03-31
"beach",2020-03-31
"#bayviewgoesvirtual",2020-03-31
