"word","n"
"river",24
"bay",16
"ocean",13
"wave",9
"fishing",4
"flooding",4
"forest",4
"hiking",4
"seal",4
"tide",4
"beach",3
"rivers",3
"#fallriverma",2
"seafood",2
"waves",2
"#bigredwave",1
"#bubbayou",1
"#deliverydriver",1
"#doorsoffallriver",1
"#driver",1
"#fallriver",1
"#fishing",1
"#igersfallriver",1
"#riverfront",1
"#rollwave",1
"#seals",1
"bayless",1
"baylies",1
"baynay",1
"beached",1
"bigredwavenow",1
"chillwave",1
"drought",1
"ebay",1
"ferry",1
"greenwave",1
"greenwavewbb",1
"noreaster",1
"oceanfront",1
"oceans",1
"peptide",1
"retrowave",1
"riverdance",1
"riverfront",1
"swimming",1
"synthwave",1
"waver",1
"wavered",1
"waverider",1
"wetland",1
